Url_id,Url,Positive Score,Negative Score,Polarity Score,Subjectivity Score,AVG Sentence Length,PERCENTAGE OF COMPLEX WORDS,FOG INDEX,AVG Number of Words Per Sentence,COMPLEX WORD COUNT,Word count,SYLLABLE PER WORD,PERSONAL PRONOUNS,AVG Word Length
123.0,https://insights.blackcoffer.com/rise-of-telemedicine-and-its-impact-on-livelihood-by-2040-3-2/,785,814,-0.01813633519816364,0.864791778872476,23.40506329113924,0.3028664142779881,9.483171882166891,23.40506329113924,560,1849,3616,2,5.140616549486209
123.0,https://insights.blackcoffer.com/rise-of-telemedicine-and-its-impact-on-livelihood-by-2040-3-2/,785,814,-0.01813633519816364,0.864791778872476,23.40506329113924,0.3028664142779881,9.483171882166891,23.40506329113924,560,1849,3616,2,5.140616549486209
123.0,https://insights.blackcoffer.com/rise-of-telemedicine-and-its-impact-on-livelihood-by-2040-3-2/,785,814,-0.01813633519816364,0.864791778872476,23.40506329113924,0.3028664142779881,9.483171882166891,23.40506329113924,560,1849,3616,2,5.140616549486209
123.0,https://insights.blackcoffer.com/rise-of-telemedicine-and-its-impact-on-livelihood-by-2040-3-2/,785,814,-0.01813633519816364,0.864791778872476,23.40506329113924,0.3028664142779881,9.483171882166891,23.40506329113924,560,1849,3616,2,5.140616549486209
123.0,https://insights.blackcoffer.com/rise-of-telemedicine-and-its-impact-on-livelihood-by-2040-3-2/,238,227,0.023655913927621692,0.4200542001625526,14.012658227848101,0.4823848238482385,5.7980172206785365,14.012658227848101,534,1107,2704,0,6.44263775971093
123.0,https://insights.blackcoffer.com/rise-of-telemedicine-and-its-impact-on-livelihood-by-2040-3-2/,238,227,0.023655913927621692,0.4200542001625526,14.012658227848101,0.4823848238482385,5.7980172206785365,14.012658227848101,534,1107,2704,0,6.44263775971093
123.0,https://insights.blackcoffer.com/rise-of-telemedicine-and-its-impact-on-livelihood-by-2040-3-2/,238,227,0.023655913927621692,0.4200542001625526,14.012658227848101,0.4823848238482385,5.7980172206785365,14.012658227848101,534,1107,2704,0,6.44263775971093
321.0,https://insights.blackcoffer.com/rise-of-e-health-and-its-impact-on-humans-by-the-year-2030/,331,356,-0.036390101839315715,1.0377643488855524,27.583333333333332,0.3021148036253776,11.154179254783486,27.583333333333332,200,662,1281,3,5.114803625377643
321.0,https://insights.blackcoffer.com/rise-of-e-health-and-its-impact-on-humans-by-the-year-2030/,331,356,-0.036390101839315715,1.0377643488855524,27.583333333333332,0.3021148036253776,11.154179254783486,27.583333333333332,200,662,1281,3,5.114803625377643
321.0,https://insights.blackcoffer.com/rise-of-e-health-and-its-impact-on-humans-by-the-year-2030/,331,356,-0.036390101839315715,1.0377643488855524,27.583333333333332,0.3021148036253776,11.154179254783486,27.583333333333332,200,662,1281,3,5.114803625377643
